Product ID,Product Name,Department,Title,Review Text,Reviewer Name,Original Platform,Stars Given,Review Date,Scrape Date
892658852,"Back to Nightstand with Charging Station, Night Stand End Table with Hutch and Storage Drawers, White",Home,Not what I expected,"Beautiful design and looked like what I wanted. Unfortunately, I did not pay attention to dimensions instead I looked at the picture and saw a nightstand almost as tall as the headboard in the picture and this was tiny.  This looks like it belongs in a toddlers room, the picture did not say not actual size.  This is not  for an adult room. I would not have paid $90 for something this tiny.  Also, I was worried about damage because the box it came in was smashed and sliced in different places.",Julie,Walmart,2 out of 5 stars review,No Date,15/03/2024
892658852,"Back to Nightstand with Charging Station, Night Stand End Table with Hutch and Storage Drawers, White",Home,No Title,No Review Text,Doris,Walmart,1 out of 5 stars review,11/20/2023,15/03/2024
892658852,"Back to Nightstand with Charging Station, Night Stand End Table with Hutch and Storage Drawers, White",Home,No Title,No Review Text,Carter,Walmart,1 out of 5 stars review,12/04/2023,15/03/2024
892658852,"Back to Nightstand with Charging Station, Night Stand End Table with Hutch and Storage Drawers, White",Home,No Title,No Review Text,Yesenia,Walmart,1 out of 5 stars review,10/07/2023,15/03/2024
892658852,"Back to Nightstand with Charging Station, Night Stand End Table with Hutch and Storage Drawers, White",Home,Mistake!!,It is a beautiful piece but the Reset and Off button are backwards.,Patricia,Walmart,5 out of 5 stars review,No Date,15/03/2024
892658852,"Back to Nightstand with Charging Station, Night Stand End Table with Hutch and Storage Drawers, White",Home,Not what I expected,"Beautiful design and looked like what I wanted. Unfortunately, I did not pay attention to dimensions instead I looked at the picture and saw a nightstand almost as tall as the headboard in the picture and this was tiny.  This looks like it belongs in a toddlers room, the picture did not say not actual size.  This is not  for an adult room. I would not have paid $90 for something this tiny.  Also, I was worried about damage because the box it came in was smashed and sliced in different places.",Julie,Walmart,2 out of 5 stars review,No Date,15/03/2024
892658852,"Back to Nightstand with Charging Station, Night Stand End Table with Hutch and Storage Drawers, White",Home,Not what I expected,"Beautiful design and looked like what I wanted. Unfortunately, I did not pay attention to dimensions instead I looked at the picture and saw a nightstand almost as tall as the headboard in the picture and this was tiny.  This looks like it belongs in a toddlers room, the picture did not say not actual size.  This is not  for an adult room. I would not have paid $90 for something this tiny.  Also, I was worried about damage because the box it came in was smashed and sliced in different places.",Julie,Walmart,2 out of 5 stars review,10/23/2023,15/03/2024
892658852,"Back to Nightstand with Charging Station, Night Stand End Table with Hutch and Storage Drawers, White",Home,not worth it,so short i had to use risers. plug box can not be moved so everything gets knocked over if u have things plugged in.,Crickett,Walmart,2 out of 5 stars review,9/14/2023,15/03/2024
892658852,"Back to Nightstand with Charging Station, Night Stand End Table with Hutch and Storage Drawers, White",Home,Not Big for me,"I just wanted this one to be bigger, it's my fault for not looking closely at the size chart of the product",Felicia,afuhokles.com,2 out of 5 stars review,2/17/2023,15/03/2024
892658852,"Back to Nightstand with Charging Station, Night Stand End Table with Hutch and Storage Drawers, White",Home,Mistake!!,It is a beautiful piece but the Reset and Off button are backwards.,Patricia,Walmart,5 out of 5 stars review,No Date,15/03/2024
892658852,"Back to Nightstand with Charging Station, Night Stand End Table with Hutch and Storage Drawers, White",Home,Not what I expected,"Beautiful design and looked like what I wanted. Unfortunately, I did not pay attention to dimensions instead I looked at the picture and saw a nightstand almost as tall as the headboard in the picture and this was tiny.  This looks like it belongs in a toddlers room, the picture did not say not actual size.  This is not  for an adult room. I would not have paid $90 for something this tiny.  Also, I was worried about damage because the box it came in was smashed and sliced in different places.",Julie,Walmart,2 out of 5 stars review,No Date,15/03/2024
892658852,"Back to Nightstand with Charging Station, Night Stand End Table with Hutch and Storage Drawers, White",Home,Small Night Stand,"I ordered this thinking it was gray but it looks black.  It matches the new bedding anyway.  This design is really too small.  I had to prop it up on 2 platforms but otherwise it works.  The shipping was quick.  The quality of the packaging was really good.  Nothing was damaged and they packed the corners really well. All in all, I'm satisfied with my purchase.",Stacy,Walmart,3 out of 5 stars review,12/28/2023,15/03/2024
892658852,"Back to Nightstand with Charging Station, Night Stand End Table with Hutch and Storage Drawers, White",Home,Taking out points because of charger station,"Very intricate but rewarding piece of furniture. It ended up being a bit smaller than expected, perhaps more suitable for a child's bedroom. The two sockets are only good for certain computers. I was disappointed I couldn't plug in anything else except on the USB ports. Otherwise, a decent piece of furniture.",Virginia,Walmart,3 out of 5 stars review,8/22/2023,15/03/2024
892658852,"Back to Nightstand with Charging Station, Night Stand End Table with Hutch and Storage Drawers, White",Home,Deceptive pictures,"The pictures make this item appear much larger. Once assembled, the main shelf part isnt even higher than a mattress on a box spring on the floor, below my knee for me.",Com,Walmart,3 out of 5 stars review,11/28/2023,15/03/2024
892658852,"Back to Nightstand with Charging Station, Night Stand End Table with Hutch and Storage Drawers, White",Home,Tiny,"Much smaller than pictures show. I did not do  due diligence and search out dimensions or even realize not put together. When built seems sturdy, gave to granddaughter as much to low for use as night stand next to most beds.",Susan,Walmart,3 out of 5 stars review,7/31/2023,15/03/2024
892658852,"Back to Nightstand with Charging Station, Night Stand End Table with Hutch and Storage Drawers, White",Home,Smaller than expected,The pic makes it look a lot larger than it is. There's something wrong with the drawer set up in the one I recd as they don't fit in correctly,KymbaliNotsosafe,Walmart,3 out of 5 stars review,01/03/2024,15/03/2024
892658852,"Back to Nightstand with Charging Station, Night Stand End Table with Hutch and Storage Drawers, White",Home,Black nightstand,Smaller than I thought and very short in height. The only thing I like about it is the work station.,A,Walmart,3 out of 5 stars review,7/19/2023,15/03/2024
892658852,"Back to Nightstand with Charging Station, Night Stand End Table with Hutch and Storage Drawers, White",Home,Just OK,This is a cute nightstand but definitely not something that will last.  The drawers are flimsly so you won't be able to store a lot in there.,Deborah,Walmart,3 out of 5 stars review,08/07/2023,15/03/2024
892658852,"Back to Nightstand with Charging Station, Night Stand End Table with Hutch and Storage Drawers, White",Home,Gift not opened,Arrived on time but since it is a gift it has not been opened.,argie,Walmart,3 out of 5 stars review,12/01/2023,15/03/2024
892658852,"Back to Nightstand with Charging Station, Night Stand End Table with Hutch and Storage Drawers, White",Home,No Title,Time consuming assembly for the end state.  This is much smaller than expected for the price.,Andrew,Walmart,3 out of 5 stars review,09/09/2023,15/03/2024
892658852,"Back to Nightstand with Charging Station, Night Stand End Table with Hutch and Storage Drawers, White",Home,No Title,easy to put together despite ALL the parts. not as big as picture makes it appear. sturdy construction.,Momof5,Walmart,3 out of 5 stars review,7/14/2023,15/03/2024
892658852,"Back to Nightstand with Charging Station, Night Stand End Table with Hutch and Storage Drawers, White",Home,No Title,No Review Text,Dianne,Walmart,3 out of 5 stars review,2/13/2024,15/03/2024
892658852,"Back to Nightstand with Charging Station, Night Stand End Table with Hutch and Storage Drawers, White",Home,Mistake!!,It is a beautiful piece but the Reset and Off button are backwards.,Patricia,Walmart,5 out of 5 stars review,No Date,15/03/2024
892658852,"Back to Nightstand with Charging Station, Night Stand End Table with Hutch and Storage Drawers, White",Home,Not what I expected,"Beautiful design and looked like what I wanted. Unfortunately, I did not pay attention to dimensions instead I looked at the picture and saw a nightstand almost as tall as the headboard in the picture and this was tiny.  This looks like it belongs in a toddlers room, the picture did not say not actual size.  This is not  for an adult room. I would not have paid $90 for something this tiny.  Also, I was worried about damage because the box it came in was smashed and sliced in different places.",Julie,Walmart,2 out of 5 stars review,No Date,15/03/2024
892658852,"Back to Nightstand with Charging Station, Night Stand End Table with Hutch and Storage Drawers, White",Home,There are some cons to this nightstand...,"I liked this night stand, it was the perfect size and everything, but if you hate building, I do not recommend this as much because it requires a HOUSE worth of building. I also was very disappointed when I realized it doesn't have as long of a wire to plug it in so I have to buy a new one... But, it is PERFECT for me, and I recommend it to people who don't care about the disadvantages because it is not a lot at all!",bhaskar,Walmart,4 out of 5 stars review,12/04/2023,15/03/2024
